id,parent_id,name,placetype,placelocal,country,repo,lat,lon,min_lat,min_lon,max_lat,max_lon,min_zoom,max_zoom,min_label,max_label,modified,is_funky,population,country_id,region_id,county_id,concord_ke,concord_id,iso_code,hasc_id,gn_id,wd_id,name_ara,name_ben,name_deu,name_eng,name_ell,name_fas,name_fra,name_heb,name_hin,name_hun,name_ind,name_ita,name_jpn,name_kor,name_nld,name_pol,name_por,name_rus,name_spa,name_swe,name_tur,name_ukr,name_urd,name_vie,name_zho,geom_src
85675123,85632739,Perak,region,state,MY,whosonfirst-data-admin-my,4.941715,101.006818,3.666804,100.374527,5.934389,101.752357,7,11,8,,2023-09-28T00:00:00.000Z,,1916987,85632739,85675123,,iso:code,MY-08,MY-08,MY.PK,1733041,Q188953,براق,পেরাক,Perak,Perak,Περάκ,پراک,Perak,פרק,पेराक,Perak,Perak,Perak,ペラ州,페락 주,Perak,Perak,Perak,Перак,Perak,Perak,Perak,Перак,پیراک,Perak,霹靂州,meso
85675127,85632739,Pulau Pinang,region,state,MY,whosonfirst-data-admin-my,5.404686,100.452324,5.123466,100.178719,5.583133,100.550664,8,11,8,,2023-09-28T00:00:00.000Z,,1526324,85632739,85675127,,iso:code,MY-07,MY-07,MY.PG,1733047,Q188096,بينانق,পেনাং,Penang,Penang,Πένανγκ,پنانگ,Penang,פננג,पिनांग,Pinang,Pulau Pinang,Penang,ペナン州,피낭 주,Penang,Penang,Penang,Пинанг,Penang,Pinang,Penang,Пенанг,پینانگ,Pulau Pinang,槟城,meso
85675133,85632739,Kedah,region,state,MY,whosonfirst-data-admin-my,5.927141,100.666805,5.080136,99.640388,6.538743,101.127939,7,11,8,,2023-09-28T00:00:00.000Z,,1899751,85632739,85675133,,iso:code,MY-02,MY-02,MY.KH,1733048,Q188947,قدح,কেদাহ,Kedah,Kedah,Κεντά,کداح,Kedah,קדה,केदाह,Kedah,Kedah,Kedah,ケダ州,크다 주,Kedah,Kedah,Quedá,Кедах,Kedah,Kedah,Kedah,Кедах,قدح,Kedah,吉打,meso
85675137,85632739,Perlis,region,state,MY,whosonfirst-data-admin-my,6.504727,100.262232,6.257542,100.120247,6.725913,100.373939,7,11,8,,2023-09-28T00:00:00.000Z,,225590,85632739,85675137,,iso:code,MY-09,MY-09,MY.PL,1733040,Q213467,برليس,পার্লিস,Perlis,Perlis,Πέρλις,پرلیس,Perlis,פרליס,पेरलिस,Perlis,Perlis,Perlis,プルリス州,프를리스 주,Perlis,Perlis,Perlis,Перлис,Perlis,Perlis,Perlis,Перліс,پرلس,Perlis,玻璃市,meso
85675141,85632739,Johor,region,state,MY,whosonfirst-data-admin-my,2.055789,103.371188,1.268694,102.469695,2.834126,104.545418,7,11,8,,2023-09-28T00:00:00.000Z,,2466320,85632739,85675141,,iso:code,MY-01,MY-01,MY.JH,1733049,Q183032,جوهر,জহর,Johor,Johor,Τζοχόρ,جوهور,Johor,ג'והור,जोहोर,Johor,Johor,Johor,ジョホール州,조호르 주,Johor,Johor,Johor,Джохор,Johor,Johor,Johore,Джохор,جوھر,Johor,柔佛州,meso
85675145,85632739,Kelantan,region,state,MY,whosonfirst-data-admin-my,5.129746,102.038801,4.547555,101.332765,6.246167,102.667123,7,11,8,,2023-09-28T00:00:00.000Z,,1380242,85632739,85675145,,iso:code,MY-03,MY-03,MY.KN,1733044,Q185944,كلانتان,কেলানতানা,Kelantan,Kelantan,Κελάνταν,کلانتان,Kelantan,קלנטן,केलंतन,Kelantan,Kelantan,Kelantan,クランタン州,클란탄 주,Kelantan,Kelantan,Kelantan,Келантан,Kelantan,Kelantan,Kelantan,Келантан,کیلانتن,Kelantan,吉兰丹,meso
85675151,85632739,Melaka,region,state,MY,whosonfirst-data-admin-my,2.322985,102.337624,2.108722,101.969553,2.498729,102.59198,8,11,8,,2023-09-28T00:00:00.000Z,,790136,85632739,85675151,,iso:code,MY-04,MY-04,MY.ME,1733035,Q185221,ملقا,মালাক্কা,Malakka,Melaka,Μαλάκα,ایالت ملاکا,Malacca,מלאקה,मेलाका,Melaka,Melaka,Malacca,ムラカ州,믈라카 주,Malakka,Malakka,Malaca,Малакка,Malaca,Malacka,Malakka,Губернаторство Малакка,ملاکا,Melaka,马六甲,meso
85675155,85632739,Negeri Sembilan,region,state,MY,whosonfirst-data-admin-my,2.814847,102.217563,2.3915,101.702478,3.288578,102.700758,7,11,8,,2023-09-28T00:00:00.000Z,,835371,85632739,85675155,,iso:code,MY-05,MY-05,MY.NS,1733043,Q213893,نجري سمبيلن,নেগেরি সেম্বিলান,Negeri Sembilan,Negeri Sembilan,Νεγκέρι Σεμπίλαν,نگاری سمبیلان,Negeri Sembilan,נגרי סמבילן,नेगेरी सेमबिलान,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,ヌグリ・スンビラン州,느그리슴빌란 주,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Негри-Сембилан,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Негері-Сембілан,نگری سمبیلان,Negeri Sembilan,森美兰,meso
85675159,85632739,Pahang,region,state,MY,whosonfirst-data-admin-my,3.733705,102.428317,2.459385,101.330302,4.781403,104.227081,7,11,8,,2023-09-28T00:00:00.000Z,,1408092,85632739,85675159,,iso:code,MY-06,MY-06,MY.PH,1733042,Q191346,بهنج,পেহাং,Pahang,Pahang,Πάχανγκ,پاهانگ,Pahang,פהנג,पाहांग,Pahang,Pahang,Pahang,パハン州,파항,Pahang,Pahang,Pão,Паханг,Pahang,Pahang,Pahang,Паханг,پاہانگ,Sông Pahang,彭亨,meso
85675163,85632739,Selangor,region,state,MY,whosonfirst-data-admin-my,3.427306,101.502757,2.600389,100.809608,3.870599,101.969572,7,11,8,,2023-09-28T00:00:00.000Z,,5288099,85632739,85675163,,iso:code,MY-10,MY-10,MY.SL,1733037,Q189710,سلانغور,সেলাঙ্গর,Selangor,Selangor,Σελανγκόρ,سلانگور,Selangor,סלנגור,सेलांगोर,Selangor,Selangor,Selangor,セランゴール州,셀랑고르,Selangor,Selangor,Selangor,Селангор,Selangor,Selangor,Selangor,Селангор,سلنگور,Selangor,雪蘭莪,meso
85675169,85632739,Trengganu,region,state,MY,whosonfirst-data-admin-my,4.98167,102.960263,3.884085,102.377699,5.947028,103.697113,7,11,8,,2023-09-28T00:00:00.000Z,,1011363,85632739,85675169,,iso:code,MY-11,MY-11,MY.TE,1733036,Q189701,ترنجانو,তেরেঙ্গানু,Terengganu,Trengganu,Τερενγκάνου,ترنگانو,Terengganu,טרנגנו,तेरेंगानू,Terengganu,Terengganu,Terengganu,トレンガヌ州,트렝가누 주,Terengganu,Terengganu,Terengganu,Тренггану,Terengganu,Terengganu,Terengganu,Теренггану,تیرنگانو,Terengganu,登嘉樓,meso
85675173,85632739,Sabah,region,state,MY,whosonfirst-data-admin-my,5.364564,116.817599,4.117483,115.309738,7.359583,119.275444,7,11,8,,2023-09-28T00:00:00.000Z,,3117405,85632739,85675173,,iso:code,MY-12,MY-12,MY.SA,1733039,Q179029,صباح,সাবাহ,Sabah,Sabah,Σαμπάχ,صباح,Sabah,סבה,साबाह राज्य,Sabah,Sabah,Sabah,サバ州,사바 주,Sabah,Sabah,Sabá,Сабах,Sabah,Sabah,Sabah,Сабах,صباح,Sabah,沙巴,meso
85675177,85632739,Sarawak,region,state,MY,whosonfirst-data-admin-my,2.527573,113.772657,0.853821,109.538021,4.995638,115.678031,7,11,8,,2023-09-28T00:00:00.000Z,,2399839,85632739,85675177,,iso:code,MY-13,MY-13,MY.SK,1733038,Q170462,سراوق,সারাওয়াক,Sarawak,Sarawak,Σαραγουάκ,ساراواک,Sarawak,סראוואק,सारावाक,Sarawak,Serawak,Sarawak,サラワク州,사라왁 주,Sarawak,Sarawak,Sarawak,Саравак,Sarawak,Sarawak,Saravak,Саравак,سراواک,Sarawak,砂拉越,meso
85675181,85632739,Kuala Lumpur,region,federal territory,MY,whosonfirst-data-admin-my,3.158041,101.688152,3.038634,101.61175,3.243595,101.757766,8,11,8,,2023-09-28T00:00:00.000Z,,1588750,85632739,85675181,,iso:code,MY-14,MY-14,MY.KL,1733046,Q1865,كوالالمبور,কুয়ালালামপুর,Kuala Lumpur,Kuala Lumpur,Κουάλα Λουμπούρ,کوالا لامپور,Kuala Lumpur,קואלה לומפור,कुआलालम्पुर,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,クアラルンプール,쿠알라룸푸르,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Куала-Лумпур,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Куала-Лумпур,کوالالمپور,Kuala Lumpur,吉隆坡,meso
85675187,85632739,Putrajaya,region,federal territory,MY,whosonfirst-data-admin-my,2.943754,101.688862,2.895207,101.657943,2.977654,101.737082,7,11,8,,2023-09-28T00:00:00.000Z,,68361,85632739,85675187,,iso:code,MY-16,MY-16,MY.PJ,1996552,Q182378,بوتراجايا,পুত্রজায়া,Putrajaya,Putrajaya,Πουτρατζάγια,پوتراجایا,Putrajaya,פוטרג'איה,पुत्रजय,Putrajaya,Putrajaya,Putrajaya,プトラジャヤ,푸트라자야,Putrajaya,Putrajaya,Putrajaya,Путраджая,Putrajaya,Putrajaya,Putrajaya,Путраджая,پتراجایا,Putrajaya,布城,meso
85675191,85632739,Labuan,region,federal territory,MY,whosonfirst-data-admin-my,5.318793,115.215263,5.22125,115.118752,5.397889,115.267891,7,11,8,,2023-09-28T00:00:00.000Z,,83920,85632739,85675191,,iso:code,MY-15,MY-15,MY.LA,1734240,Q214504,لابوان,লাবুয়ান,Labuan,Labuan,Λαμπουάν,لابوآن,Territoire fédéral de Labuan,לבואן,लबूअन,Labuan,Labuan,Labuan,ラブアン,라부안,Labuan,Labuan,Labuan,Лабуан,Labuán,Labuan,Labuan,Лабуан,لابوان,Labuan,纳闽,meso